"nb","gflops","ib"
32,1.37329270899254,16
34,1.36467483767925,17
36,1.47267613813914,18
38,1.6042802637157,19
40,1.72427728534095,20
42,1.74812948163459,21
44,1.89784046679604,22
46,2.0136955127542,23
48,2.1194205476013,24
50,2.16023033239896,25
52,2.25561425094928,26
54,2.48982889778932,27
56,2.47342646804064,28
58,2.47912378338543,29
60,2.6080090024607,30
62,2.80319595013414,31
64,2.77052763298626,32
66,2.55508847394662,22
68,2.640067170445,34
70,2.88919961589649,35
72,2.85490939964356,24
74,2.83774282552977,37
76,2.91754009344614,38
78,3.16955424052577,39
80,3.12115190012314,40
82,3.14605408057881,41
84,3.27897366106252,42
86,3.55537171604248,43
88,3.4456410723134,44
90,3.47840193912558,45
92,3.56672773909857,46
94,3.85853320883215,47
96,3.78905172635312,32
98,3.63395997667945,49
100,3.74364983396913,50
102,4.07655193607867,51
104,3.90926625495668,52
106,3.89730366492147,53
108,4.03415080925633,54
110,4.37913937244399,55
112,4.15657941840409,56
114,4.17717578860707,57
116,4.27665001739817,58
118,4.69734317955052,59
120,4.46257941222044,60
122,4.44602016056961,61
124,4.62615616052798,31
126,4.9390048788196,63
128,4.69791062296007,32
130,4.3273331061664,65
132,4.46060455608609,44
134,4.82608782859504,67
136,4.53874829038393,68
138,4.64652050919378,46
140,4.74362143688166,35
142,5.04562812015951,71
144,4.84076771809915,48
146,4.81786868166147,73
148,4.93379884272013,74
150,5.39222656618219,75
152,5.06798279793344,76
154,5.10007973535125,77
156,5.20397026550225,52
158,5.38561591744165,79
160,5.50403732425311,32
162,5.23638782146024,54
164,5.05217053668683,41
166,5.24803928317386,83
168,5.47280410065109,56
170,5.04631351031552,85
172,5.58113986500271,43
174,5.61360301521996,58
176,5.38904748724843,44
178,5.24999255287459,89
180,5.81826888543038,60
182,5.76741925608449,91
184,5.67505147125808,46
186,5.93730946669127,62
188,6.0306329527509,47
190,5.95017089716675,95
192,6.06981339187706,32
194,5.26218288745387,97
196,5.81359523147719,49
198,5.73310289816538,99
200,5.96658711217184,50
202,5.44729301046844,101
204,6.4406390823433,51
206,5.87195615083896,103
208,6.19026497537353,52
210,5.88261449533126,42
212,6.29085435098376,53
214,6.16234311728162,107
216,6.37982299540396,54
218,5.83517246040507,109
220,6.91931794551882,55
222,6.18529691103975,74
224,6.64881569295568,32
226,5.48056974646282,113
228,6.33727503127907,57
230,6.24531614121898,46
232,6.45298330835616,58
234,6.29212410501193,78
236,6.96030416318058,59
238,6.17500549651887,119
240,6.70300044609089,60
242,6.01701961450284,22
244,6.77814462620965,61
246,6.38255903688841,82
248,6.89768644972234,62
250,6.70180916678819,50
252,7.35276917563383,63
254,6.53287513953118,127
256,6.96716665836116,64
258,6.67985717286284,43
260,6.852402005505,52
262,6.36893569703451,131
264,6.71146290041364,88
266,6.22024601920827,38
268,6.90372644520798,67
270,7.10762364224636,54
272,6.626683702367,68
274,6.31138519691224,137
276,6.93111796819369,92
278,6.77587738110256,139
280,7.37951807228916,56
282,7.24243582953327,47
284,7.31158039886622,71
286,6.66999002081373,143
288,7.3907750949841,32
290,7.2959794184516,58
292,6.90147969507969,73
294,7.07351930924294,49
296,7.00356357783647,74
298,6.52706465011198,149
300,7.56001814404355,75
302,6.95556195295888,151
304,7.26394357311656,76
306,7.70459436930275,51
308,7.34510973126524,77
310,7.79354980484079,62
312,7.52924750482178,52
314,6.85661916805826,157
316,7.66306177660561,79
318,7.65383436312918,53
320,7.95633340455702,64
322,7.2691313511348,46
324,7.65237925960591,54
326,6.8255021710179,163
328,6.91657820254494,82
330,7.18627894048528,55
332,7.32514392319826,83
334,6.99261021987674,167
336,7.05781171506078,84
338,6.72550239484455,169
340,7.1324615557709,85
342,7.13637901136777,171
344,7.21845025516989,86
346,6.83879092866294,173
348,7.60231474132333,87
350,7.09113702971083,175
352,7.39712827123014,88
354,7.50946498156568,59
356,7.28718387704275,89
358,7.16624007047115,179
360,7.4152010349749,90
362,6.90100581024896,181
364,7.82910573751331,91
366,7.41862255551722,61
368,7.5590685709432,92
370,7.28778199815838,74
372,7.58190317687085,93
374,7.48622978314191,187
376,7.6753130342374,94
378,7.99354598089014,63
380,8.12735502523876,95
382,7.61844840122238,191
384,7.79400079284676,96
386,6.99273593852589,193
388,7.26113913633685,97
390,7.5745464389327,78
392,7.45515221873755,56
394,7.18097908272047,197
396,7.72854099046178,99
398,7.56164865954058,199
400,7.60132928245827,80
402,7.52979449911332,67
404,7.52506259543379,101
406,7.68801663430941,203
408,7.61396307216287,102
410,7.7145479577788,82
412,7.9574320311131,103
414,7.63021463288744,138
416,7.69206809158087,104
418,7.2555763957878,209
420,7.82121253708024,60
422,7.63732675340091,211
424,7.77598478774042,106
426,7.83652969332541,71
428,8.13770844361409,107
430,7.98359240069085,86
432,7.8629873309081,108
434,8.06067249097758,62
436,7.90314440460752,109
438,7.93657290741825,219
440,8.16979485359701,88
442,7.63957569162442,221
444,8.04474035403761,111
446,8.02857313508475,223
448,8.28117961281291,64
450,8.040393880036,90
452,7.63380766973357,113
454,7.25012698634064,227
456,7.80870943035733,152
458,7.30312750381987,229
460,8.18630625478339,92
462,7.91637589711478,77
464,7.86475598138861,116
466,7.44264713237133,233
468,8.03052537566005,78
470,8.35483273918257,94
472,8.20906733283891,59
474,8.18328279762408,79
476,8.25881214200386,119
478,7.62884808013356,239
480,8.42265599415093,96
482,7.55693458044837,241
484,7.97310211458267,121
486,7.91658374769829,81
488,8.08317778720622,61
490,7.83736252023476,98
492,8.3788633581449,123
494,7.71825779644414,247
496,8.17608201279775,62
498,8.20463369914703,83
500,8.09936954507461,125
502,7.74774823770065,251
504,8.60845379541282,63
506,7.70747734830953,253
508,8.41457229600056,127
510,7.97905551311587,85
512,8.27391091000999,64
